iter	Passed	Remaining
705	1317	548
706	1318	546
707	1319	544
708	1320	542
709	1321	539
710	1322	537
711	1323	535
712	1324	533
713	1325	531
714	1326	528
715	1327	526
716	1331	525
717	1332	523
718	1333	521
719	1334	518
720	1335	516
721	1336	514
722	1337	512
723	1338	510
724	1339	508
725	1340	505
726	1341	503
727	1342	501
728	1347	500
729	1348	498
730	1349	496
731	1350	494
732	1351	492
733	1353	490
734	1354	488
735	1355	486
736	1356	483
737	1357	481
738	1358	479
739	1362	478
740	1363	476
741	1364	474
742	1365	472
743	1366	470
744	1367	468
745	1368	465
746	1369	463
747	1370	461
748	1371	459
749	1372	457
750	1376	456
751	1378	454
752	1380	452
753	1381	450
754	1382	448
755	1383	446
756	1384	444
757	1385	442
758	1386	440
759	1387	438
760	1389	436
761	1391	434
762	1392	432
763	1393	430
764	1394	428
765	1395	426
766	1396	424
767	1397	422
768	1398	420
769	1399	418
770	1400	416
771	1402	414
772	1403	412
773	1406	410
774	1407	408
775	1408	406
776	1409	404
777	1410	402
778	1411	400
779	1412	398
780	1413	396
781	1414	394
782	1415	392
783	1416	390
784	1417	388
785	1421	386
786	1422	384
787	1423	382
788	1424	380
789	1425	378
790	1426	376
791	1427	374
792	1428	372
793	1429	370
794	1431	369
795	1432	367
796	1433	365
797	1434	363
798	1435	361
799	1436	359
800	1437	357
801	1438	355
802	1440	353
803	1441	351
804	1442	349
805	1443	347
806	1446	345
807	1447	343
808	1448	342
809	1449	340
810	1450	338
811	1451	336
812	1452	334
813	1453	332
814	1454	330
815	1455	328
816	1456	326
817	1457	324
818	1460	322
819	1462	320
820	1463	319
821	1464	317
822	1465	315
823	1466	313
824	1467	311
825	1468	309
826	1469	307
827	1470	305
828	1471	303
829	1472	301
830	1474	299
831	1476	298
832	1477	296
833	1478	294
834	1479	292
835	1480	290
836	1482	288
837	1483	286
838	1485	285
839	1486	283
840	1487	281
841	1490	279
842	1492	277
843	1493	276
844	1494	274
845	1495	272
846	1496	270
847	1497	268
848	1498	266
849	1499	264
850	1500	262
851	1501	260
852	1505	259
853	1506	257
854	1507	255
855	1508	253
856	1509	251
857	1510	249
858	1511	248
859	1512	246
860	1513	244
861	1514	242
862	1515	240
863	1516	238
864	1520	237
865	1522	235
866	1523	233
867	1524	231
868	1526	230
869	1527	228
870	1529	226
871	1530	224
872	1531	222
873	1536	221
874	1537	219
875	1538	217
876	1539	215
877	1540	214
878	1541	212
879	1542	210
880	1543	208
881	1544	206
882	1546	204
883	1547	203
884	1550	201
885	1551	199
886	1552	197
887	1553	195
888	1554	194
889	1555	192
890	1556	190
891	1557	188
892	1558	186
893	1559	184
894	1561	183
895	1562	181
896	1565	179
897	1566	177
898	1567	176
899	1568	174
900	1569	172
901	1570	170
902	1571	168
903	1572	167
904	1573	165
905	1574	163
906	1575	161
907	1576	159
908	1579	158
909	1581	156
910	1582	154
911	1583	152
912	1584	150
913	1585	149
914	1586	147
915	1587	145
916	1588	143
917	1589	141
918	1590	140
919	1591	138
920	1594	136
921	1596	135
922	1597	133
923	1598	131
924	1599	129
925	1600	127
926	1601	126
927	1602	124
928	1604	122
929	1606	120
930	1611	119
931	1612	117
932	1614	115
933	1616	114
934	1617	112
935	1618	110
936	1619	108
937	1620	107
938	1621	105
939	1626	103
940	1628	102
941	1629	100
942	1630	98
943	1631	96
944	1632	95
945	1633	93
946	1634	91
947	1635	89
948	1636	87
949	1640	86
950	1642	84
951	1643	82
952	1644	81
953	1645	79
954	1646	77
955	1647	75
956	1648	74
957	1649	72
958	1650	70
959	1651	68
960	1653	67
961	1655	65
962	1656	63
963	1657	61
964	1658	60
965	1659	58
966	1660	56
967	1661	54
968	1662	53
969	1663	51
970	1664	49
971	1666	47
972	1669	46
973	1670	44
974	1671	42
975	1672	41
976	1673	39
977	1674	37
978	1675	35
979	1676	34
980	1677	32
981	1678	30
982	1680	29
983	1682	27
984	1685	25
985	1686	23
986	1687	22
987	1688	20
988	1689	18
989	1690	17
990	1691	15
991	1692	13
992	1693	11
993	1694	10
994	1695	8
995	1697	6
996	1700	5
997	1701	3
998	1702	1
999	1703	0
